Series Name	"Series Code"	"Country Name"	"Country Code"	"2016 [YR2016]"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Djibouti"	"DJI"	"0.6670057000663"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Dominica"	"DMA"	"2.51985078603784"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Dominican Republic"	"DOM"	"2.42920949286783"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ecuador"	"ECU"	"2.49557055420449"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Egypt, Arab Rep."	"EGY"	"2.52586286634698"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"El Salvador"	"SLV"	"1.12788290005433"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Equatorial Guinea"	"GNQ"	"4.65323544926303"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Eritrea"	"ERI"	"0.210687333077057"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Estonia"	"EST"	"12.6080210367916"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Eswatini"	"SWZ"	"1.0369134565667"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ethiopia"	"ETH"	"0.143524927791774"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Faroe Islands"	"FRO"	"13.0928943599112"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Fiji"	"FJI"	"2.34547036390459"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Finland"	"FIN"	"8.34721998040872"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"France"	"FRA"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"French Polynesia"	"PYF"	"2.80458891013384"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Gabon"	"GAB"	"2.64997686606673"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Gambia, The"	"GMB"	"0.247408380751548"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Georgia"	"GEO"	"2.71716711312258"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Germany"	"DEU"	"8.84012879430996"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ghana"	"GHA"	"0.585289432119561"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Gibraltar"	"GIB"	"18.8040133977532"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Greece"	"GRC"	"5.79384836874561"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Greenland"	"GRL"	"9.07188623500516"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Grenada"	"GRD"	"2.4277940522941"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guam"	"GUM"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guatemala"	"GTM"	"1.05994778770623"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guinea"	"GIN"	"0.255224607765205"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guinea-Bissau"	"GNB"	"0.164583657094192"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Guyana"	"GUY"	"3.0900376734261"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Haiti"	"HTI"	"0.274687476072351"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Honduras"	"HND"	"1.05847362604825"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Hong Kong SAR, China"	"HKG"	"5.94889103944606"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Hungary"	"HUN"	"4.63997343393224"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Iceland"	"ISL"	"6.15468386204347"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"India"	"IND"	"1.81778338639117"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Indonesia"	"IDN"	"2.15375812738732"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Iran, Islamic Rep."	"IRN"	"8.31670123338168"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Iraq"	"IRQ"	"5.19140478099367"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Ireland"	"IRL"	"7.93034097492606"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Isle of Man"	"IMN"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Israel"	"ISR"	"7.62535186051954"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Italy"	"ITA"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Jamaica"	"JAM"	"2.83014708361807"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Japan"	"JPN"	"8.94437282411363"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Jordan"	"JOR"	"2.62870080585527"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Kazakhstan"	"KAZ"	"13.8926814601843"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Kenya"	"KEN"	"0.365117480365507"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Kiribati"	"KIR"	"0.58659485976325"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Korea, Dem. People’s Rep."	"PRK"	"1.11758562912601"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Korea, Rep."	"KOR"	"12.1110697778271"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Kosovo"	"XKX"	"5.03151966434832"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Kuwait"	"KWT"	"24.9525130311167"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Kyrgyz Republic"	"KGZ"	"1.60987301587302"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Lao PDR"	"LAO"	"2.5947045843567"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Latvia"	"LVA"	"3.57429841845293"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Lebanon"	"LBN"	"3.69480061527724"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Lesotho"	"LSO"	"1.21055122383074"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Liberia"	"LBR"	"0.302199709251877"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Libya"	"LBY"	"7.78850672903519"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Liechtenstein"	"LIE"	"1.36326942482341"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Lithuania"	"LTU"	"4.5194564175619"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Luxembourg"	"LUX"	"15.4426130642905"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Macao SAR, China"	"MAC"	"3.37478216031695"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Madagascar"	"MDG"	"0.156876973839075"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Malawi"	"MWI"	"0.0754487762454906"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Malaysia"	"MYS"	"8.09159162300662"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Maldives"	"MDV"	"3.03839852958804"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Mali"	"MLI"	"0.176967051552178"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Malta"	"MLT"	"2.94741257389822"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Marshall Islands"	"MHL"	"2.4770589763575"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Mauritania"	"MRT"	"0.657914406367283"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Mauritius"	"MUS"	"3.44214874397791"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Mexico"	"MEX"	"3.94382740321647"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Micronesia, Fed. Sts."	"FSM"	"1.29758199882049"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Moldova"	"MDA"	"1.82553699454351"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Monaco"	"MCO"	"#N/A"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Mongolia"	"MNG"	"8.30017219835759"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Montenegro"	"MNE"	"3.24094532727626"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Morocco"	"MAR"	"1.74443584942745"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Mozambique"	"MOZ"	"0.285402032099097"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Myanmar"	"MMR"	"0.476580079044248"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Namibia"	"NAM"	"1.7930354052368"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Nauru"	"NRU"	"3.65323013257721"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Nepal"	"NPL"	"0.333997918134798"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Netherlands"	"NLD"	"10.0279727079606"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"New Caledonia"	"NCL"	"19.2665015367926"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"New Zealand"	"NZL"	"7.32587403051223"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Nicaragua"	"NIC"	"0.887087256387796"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Niger"	"NER"	"0.0970160044539286"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"Nigeria"	"NGA"	"0.647284835097239"
CO2 emissions (metric tons per capita)	"EN.ATM.CO2E.PC"	"North Macedonia"	"MKD"	"3.38899817132806"
